JD_UTC,Source-Sky_T1,Source_Error_T1
2459296.813768,0.922734,0.003884
2459296.814858,0.921680,0.003865
2459296.815948,0.935542,0.003873
2459296.818388,0.946376,0.003838
2459296.819478,0.957534,0.003870
2459296.820568,0.966345,0.003862
2459296.823327,0.980663,0.003838
2459296.824416,0.992623,0.003884
2459296.825506,0.987891,0.003836
2459296.827936,1.012570,0.003771
2459296.829026,1.006562,0.003803
2459296.830122,1.021100,0.003787
2459296.834451,1.047179,0.003747
2459296.835541,1.051007,0.003755
2459296.836631,1.048606,0.003760
2459296.839072,1.067175,0.003742
2459296.840161,1.079057,0.003726
2459296.841252,1.082770,0.003728
2459296.844243,1.069702,0.003664
2459296.845337,1.067701,0.003653
2459296.846427,1.078357,0.003640
2459296.848862,1.066488,0.003632
2459296.849952,1.071142,0.003887
2459296.851044,1.061695,0.004090
2459296.855563,1.043596,0.003597
2459296.856655,1.034565,0.003680
2459296.857745,1.027529,0.003675
2459296.860176,1.003448,0.003522
2459296.861266,0.998354,0.003793
2459296.862358,1.000937,0.004238
2459296.865039,0.965017,0.004190
2459296.866129,0.968630,0.004047
2459296.867222,0.932020,0.004270
2459296.869655,0.960632,0.004992
2459296.870745,0.927777,0.003795
2459296.871835,0.923054,0.004211
2459296.876391,0.897589,0.003648
2459296.877481,0.895958,0.003398
2459296.878570,0.890030,0.003511
2459296.881001,0.899064,0.003605
2459296.882091,0.896593,0.003578
2459296.883184,0.894944,0.003538
2459296.885882,0.911432,0.004174
2459296.886972,0.890288,0.004428
2459296.888062,0.893605,0.004536
2459296.890492,0.907215,0.004302
2459296.891582,0.918124,0.003777
2459296.892672,0.918459,0.005761
2459296.895348,0.921624,0.005182
2459296.896439,0.936006,0.003983
2459296.897528,0.939099,0.004871
2459296.899966,0.960017,0.005517
2459296.901056,0.956759,0.006032
2459296.902146,0.974552,0.005509
2459296.904816,0.987942,0.003205
2459296.905907,1.006959,0.003889
2459296.906997,1.001163,0.003677
2459296.909431,1.025249,0.003068
2459296.910520,1.040970,0.003047
2459296.911610,1.048322,0.002886
2459296.914300,1.063358,0.003146
2459296.915390,1.074109,0.003203
2459296.916480,1.079087,0.002950
2459296.918913,1.090379,0.002808
2459296.920003,1.089738,0.002776
2459296.921093,1.098938,0.002790
2459296.923792,1.107352,0.002768
2459296.924881,1.116576,0.002765
2459296.925971,1.099080,0.002776
2459296.928416,1.108114,0.002865
2459296.929506,1.110705,0.003026
2459296.930596,1.097329,0.002830
2459296.933278,1.095561,0.002830
2459296.934368,1.096363,0.002830
2459296.935458,1.095084,0.002803
2459296.937893,1.077622,0.002835
2459296.938983,1.071917,0.002849
2459296.940074,1.064597,0.002832
2459296.942785,1.029712,0.002827
2459296.943876,1.033878,0.002835
2459296.944967,1.016771,0.002843
2459296.947412,1.009749,0.002878
2459296.948502,1.000779,0.002894
2459296.949592,0.978171,0.002867
2459296.952272,0.954691,0.002881
2459296.953367,0.957043,0.002916
2459296.954457,0.941250,0.002932
2459296.956887,0.929676,0.002916
2459296.957977,0.926559,0.002921
2459296.959067,0.927820,0.002942
2459296.961843,0.902497,0.002940
2459296.962933,0.915476,0.002950
2459280.812099,0.927537,0.003592
2459280.813542,0.923230,0.003592
2459280.814980,0.915341,0.003592
2459280.826257,0.917046,0.003592
2459280.827695,0.921103,0.003592
2459280.829133,0.924292,0.003592
2459280.838808,0.986809,0.003592
2459280.840246,0.999023,0.003592
2459280.841686,1.004320,0.003592
2459280.852702,1.064386,0.003592
2459280.854140,1.067702,0.003592
2459280.855577,1.067941,0.003592
2459280.866409,1.048805,0.003592
2459280.867848,1.042005,0.003592
2459280.869285,1.032806,0.003592
2459280.879891,0.957379,0.003592
2459280.881328,0.949833,0.003592
2459280.882766,0.935388,0.003592
2459280.893374,0.905325,0.003592
2459280.894812,0.901164,0.003592
2459280.896254,0.898919,0.003592
2459280.906872,0.924141,0.003592
2459280.908310,0.931650,0.003592
2459280.909747,0.935501,0.003592
2459280.920332,1.024879,0.003592
2459280.921769,1.033506,0.003592
2459280.923207,1.043480,0.003592
2459280.933796,1.117864,0.003592
2459280.935233,1.118399,0.003592
2459280.936673,1.121959,0.003592
2459280.947251,1.115558,0.003592
2459280.948688,1.109576,0.003592
2459280.950126,1.104673,0.003592
2459280.960724,1.021893,0.003592
2459280.962162,1.011341,0.003592
2459280.963599,1.004156,0.003592
2459280.974201,0.942197,0.003592
2459280.975639,0.938051,0.003592
2459280.977076,0.931603,0.003592
2459280.988465,0.934721,0.003592
2459280.989902,0.931998,0.003592
2459280.991339,0.936586,0.003592
2459281.001938,0.995065,0.003592
2459281.003375,1.005738,0.003592
2459281.004814,1.012369,0.003592
2459281.015407,1.068894,0.003592
2459281.016844,1.072247,0.003592
2459281.018282,1.075027,0.003592
2459281.028862,1.065635,0.003592
2459281.030299,1.049965,0.003592
2459281.031737,1.030970,0.003592
